"1","1","MDN","Comptable","1987-01-23","DIA/EMIV"
"2","1","MDN","Chef div","2014-09-01","DIA/SPCM/D2"
"3","2","MINDEF","SECRETAIRE","1987-12-07","DIAP/CEMES"
"4","2","MINDEF","SECRETAIRE","1988-02-15","DIA/DMT/Imprimerie"
"5","2","MINDEF","Responsable CNaPs","2004-11-22","DIA/SPCM/D2"
"6","3","-","SECRETAIRE","1988-08-22","DIA/CISL"
"7","3","-","SECRETAIRE","1992-08-01","DIA/SPCM"
"8","3","-","SECRETAIRE","2010-00-00","DIA/SPCM"
"9","3","-","GESTION FONCTIONNAIRE","2012-00-00","SPCM/PC"
"10","4","ECMAG","SECRETAIRE","1987-03-30","-"
"11","4","DIA/SPCM/D2","GESTION ECD-SOLDE ECD","1999-02-08","-"
"12","4","DIA/CAB","SECRETAIRE","2006-07-14","-"
"13","4","DIA/SPCM/D2","DECOMPTEUR SOLDE FONCTIONNAIRE","0000-00-00","-"
"14","5","MDN","Femme de menage","1980-01-28","DIA/ECMAG"
"15","5","MDN","Lingerie","1993-04-16","DIA/CEMES"
"16","5","MDN","Femme de menage","2000-08-29","DIA/SG"
"17","6","DIA","CouturiÃ¨re","2014-12-01","DIA/EMIV"
"18","6","DIA","CouturiÃ¨re","2015-04-01","1Ã¨re RFI"
"19","7","MDN","MagasiniÃ¨re","1987-06-19","DIA/ECMAG"
"20","7","MDN","Solde ECD","2006-08-01","DIA/SPCM/PC"
"21","7","MDN","GESTION ECD","2010-09-01","DIA/SPCM/PC"
"22","8","-","GESTION ECD","2007-06-01","DIA/ECMAG"
"23","8","-","Chef personnel civil","2009-00-00","DIA/ECMAG"
"24","8","-","Chef personnel civil","2010-00-00","DIA/ECMAG"
"25","8","-","GESTION ECD","2012-12-01","SPCM/PC"
"26","9","-","DECOMPTEUR SOLDE ECD","1982-02-22","DIA/D2"
"27","9","-","SECRETAIRE","1988-00-00","DIA/UGPM"
"30","9","-","SECRETAIRE LIQUIDATION","2010-04-14","SRI 1"
"31","9","-","DECOMPTEUR SOLDE FONCTIONNAIRE","0000-00-00","SPCM/PC"
"32","12","Antsiranana","SecrÃ©taire","2013-10-01","SRI7"
"33","12","-","SecrÃ©taire CNaPs","2015-01-03","DIA/SPCM/PC"
"34","13","MDN","SECRETAIRE","2011-06-01","DIA/EMIV"
"35","13","MDN","SECRETAIRE","0000-00-00","DIA/CISL"
"36","14","-","-","0000-00-00","-"
"37","15","-","-","0000-00-00","-"
"38","16","-","-","0000-00-00","-"
"39","17","-","-","0000-00-00","-"
"40","18","SOANIERANA","SECRETAIRE","0000-00-00","DIA"
"41","19","MDN","Informaticien","2015-04-30","DIA"
"42","20","-","Informaticien","2015-04-30","cellule INFO"
"43","21","MDN","Administrateur rÃ©seau","2016-02-09","DIA"
"44","22","MDN","DÃ©vÃ©loppeur","2016-02-09","DIA"
"45","23","MDN","Technicien systÃ¨me rÃ©seau ","2016-02-09","DIA"
"46","24","MDN","Comptable","2015-04-30","CEMES Fiadanana"
"47","25","-","-","0000-00-00","-"
"48","26","MDN","SecrÃ©taire","0000-00-00","SRI 4"
"49","27","MDN","SecrÃ©taire","2011-06-01","DIA/SEOM"
"50","27","MDN","SÃ©crÃ©taire","2011-10-02","DIA/SRI3"
"51","28","-","-","0000-00-00","-"
"52","28","MDN","Planton","2011-06-11","DIA/CISL"
"53","28","MDN","CouturiÃ¨re","2011-08-01","DIA/EMIV"
"54","28","MDN","CouturiÃ¨re","2012-02-22","1/rm1"
"55","30","-","-","0000-00-00","-"
"56","31","MDN","CouturiÃ¨re","2011-06-01","DIA/EMIV"
"57","31","Yvato","CouturiÃ¨re","0000-00-00","1Â° RFI"
"58","32","-","-","0000-00-00","-"
"60","34","DIA","Chauffeur","2011-06-01","-"
"61","35","-","-","0000-00-00","-"
"62","36","MFA","Stagiaire","2011-09-29","DIA"
"63","36","MDN","Verificateur","2014-01-20","SRI 3"
"64","37","DIA","Comptable","2011-10-04","SCF"
"65","38","MDN","MAITRE D'HOTEL","2011-03-26","DIA"
"66","39","MDN","Decoratrice","2013-11-06","DIA"
"67","40","MDN","chargÃ© de projet","2016-02-09","CEMES Ivato"
"68","41","MDN","SecrÃ©taire","2010-01-07","SPCM/PM"
"69","41","MDN","SecrÃ©taire","2010-03-08","DIA/CAB"
"70","42","MDN","chargÃ© d'etude","2015-04-30","DIA"
"71","43","MDN","chargÃ© d'etude juridique","2015-04-30","DIA"
"72","44","MDN","RÃ©dactrice","2015-04-30","DIA"
"73","45","MDN","RÃ©dactrice","2015-04-30","DIA"
"74","46","MDN","Suivi et Ã©valuation budget","2015-04-30","DIA/SCF"
"75","47","MDN","SECRETAIRE","2015-04-30","DIA"
"76","48","MDN","MagasiniÃ¨re","2008-04-01","DIA/EIA"
"77","49","DIA/Archives","SecrÃ©taire","0000-00-00","-"
"79","51","-","-","0000-00-00","-"
"80","52","-","-","0000-00-00","-"
"81","53","MDN","CHAUFFEUR","2013-08-01","DIA/CAPSAT"
"82","54","-","SecrÃ©taire","0000-00-00","-"
"84","56","-","-","0000-00-00","-"
"85","57","-","SERVICE APPROVISIONEMENT","2010-01-01","EMIV"
"86","57","-","GESTION ECD/PC","2015-04-02","DIA/SPCM/D2"
"87","58","MDN","SECRETAIRE","2010-01-01","DIA/SEOM"
"88","58","-","SecrÃ©taire","2010-04-01","DIA/SPC"
"89","58","-","SecrÃ©taire","2015-05-01","DIA/SCF"
"90","59","-","SecrÃ©taire","2015-04-30","DIA"
"91","60","-","responsable suivi d'Ã©valuation","2015-04-30","DIA/SCF"
"92","61","MDN","Suivi et Ã©valuation budget","2016-02-09","DIA"
"93","62","MDN","Suivi et Ã©valuation budget","2016-02-09","DIA"
"94","64","MDN","Auditeur","2015-04-30","DIA"
"95","65","MDN","Auditeur","2015-04-30","DIA"
"97","67","MDN","Responsable Jirama","2013-08-01","DIA"
"98","68","-","-","0000-00-00","-"
"99","69","-","-","0000-00-00","-"
"100","69","MDN","Femme de menage","2005-01-04","DIA/EMIV"
"101","69","MDN","Femme de menage","2010-06-30","DIA"
"102","70","DIA/SG","-","1986-02-01","-"
"103","71","DIA","Fichiste","2011-06-01","DIA/ECMAG"
"104","71","DIA","GESTION ECD/PC","2014-01-01","DIA/SPCM/PC"
"105","72","-","-","0000-00-00","-"
"106","73","-","-","0000-00-00","-"
"107","74","-","-","0000-00-00","-"
"108","75","-","-","0000-00-00","-"
"109","76","-","-","0000-00-00","-"
"111","78","MDN","SecrÃ©taire responsable de Dossier OFF.","2013-08-01","DIA/CAPSAT"
"112","79","-","-","0000-00-00","-"
"113","80","-","-","0000-00-00","-"
"115","82","-","-","0000-00-00","-"
"116","83","MDN","SecrÃ©taire","2007-06-01","DIA"
"117","83","MDN","SecrÃ©taire","2012-09-26","DONMAC"
"118","84","MDN","SecrÃ©taire","2011-06-01","DIA"
"119","85","-","-","0000-00-00","-"
"120","86","MDN","RÃ©dactrice","2015-04-30","service juridique"
"121","87","MDN","Assistant comptable","2016-02-09","DIA/GAC"
"122","87","MDN","Chef de division","2016-06-02","DIA/SPCM/PC"
"123","88","MDN","SecrÃ©taire","2016-02-09","SPCM/PC"
"124","89","MDN","SecrÃ©taire","2016-02-09","DIA/SPCM/PC"
"125","90","MDN","chargÃ© de projet","2016-02-09","DIA/CEMES Fiadanana"
"126","91","MDN","professeur d'anglais","2016-02-09","DMT labo langue"
"127","92","MDN","SecrÃ©taire","2011-09-09","DIA/PC"
"128","92","MDN","SecrÃ©taire","2013-10-01","DIA/ECMAG"
"129","93","MDN","Comptable","2016-02-09","CEMES Betongolo"
"130","94","MDN","chargÃ© de projet","2016-02-09","CEMES Fiadanana"
"131","95","MDN","chargÃ© de projet","2016-02-09","DIA/CEMES Ivato"
"132","96","-","-","0000-00-00","-"
"133","97","-","-","0000-00-00","-"
"134","98","-","-","0000-00-00","-"
"135","99","-","-","0000-00-00","-"
"136","100","-","-","0000-00-00","-"
"138","102","-","-","0000-00-00","-"
"139","103","-","-","0000-00-00","-"
"140","104","-","-","0000-00-00","-"
"141","105","-","-","0000-00-00","-"
"142","106","-","-","0000-00-00","-"
"143","107","-","-","0000-00-00","-"
"144","108","-","-","0000-00-00","-"
"146","109","-","-","0000-00-00","-"
"147","110","-","-","0000-00-00","-"
"148","111","MDN","CouturiÃ¨re","1980-03-01","DIA/EMIV"
"149","111","-","Femme de menage","0000-00-00","DIA/CISL"
"150","112","-","-","0000-00-00","-"
"151","113","-","-","0000-00-00","-"
"152","114","-","-","0000-00-00","-"
"153","115","-","-","0000-00-00","-"
"154","116","-","-","0000-00-00","-"
"155","117","DIA/EMIV","CouturiÃ¨re","2011-06-01","-"
"156","118","MDN","comptable","2006-05-01","DIA/SCF"
"157","118","MDN","Comptable","2016-06-06","ECMAG"
"158","119","MDN","Laborantin","2005-01-03","DIA/EIA"
"159","120","PrÃ©sidence","Chauffeur ","1987-03-16","DIA"
"160","120","PrÃ©sidence","Coursier","2007-07-28","DIA"
"161","121","DIA","SecrÃ©taire","1993-11-01","SPCM"
"162","121","DIA","SecrÃ©taire","1994-06-12","CEMES"
"163","121","DIA","Fichiste","1996-02-06","ECMAG"
"164","122","MDN","Auditeur","2016-02-09","DIA/AUDIT"
"166","124","MDN","secrÃ©taire","2016-02-09","DIA"
"167","125","MDN","Auditeur","2016-02-09","DIA"
"168","126","MDN","a","2016-02-09","DIA/AUDIT"
"169","127","MDN","Auditeur","2016-02-09","DIA/AUDIT"
"170","128","MDN","SecrÃ©taire","0000-00-00","SRI 3"
"171","128","MDN","SecrÃ©taire","0000-00-00","SRI 1"
"172","129","MDN","SecrÃ©taire","2011-09-04","SRI 1"
"173","129","MDN","SecrÃ©taire","2012-01-01","SRI 1"
"174","130","MDN","Verificatrice Budget","0000-00-00","SRI 1"
"175","109","-","SecrÃ©taire","0000-00-00","Inspection"
"176","117","SRI-3 Toamasina","SecrÃ©taire","2012-07-09","DIA"
"177","117","CAPSAT/Soanierana","SecrÃ©taire","2016-04-08","SMI"
"178","131","-","-","0000-00-00","-"
"179","131",,"-","0000-00-00","-"
"180","131",,"-","0000-00-00","-"
"181","132","-","-","0000-00-00","-"
"182","132",,"-","0000-00-00","-"
"183","132",,"-","0000-00-00","-"
"184","133","DIA/GAC","SecrÃ©taire","2016-05-24","-"
"185","133",,"-","0000-00-00","-"
"186","133",,"-","0000-00-00","-"
"187","35","MDN","Basketteur","2011-06-01","MDN/COSFA"
"188","52","-","SecrÃ©taire","2011-06-01","SMI"
"189","134","-","-","0000-00-00","-"
"190","134",,"-","0000-00-00","-"
"191","134",,"-","0000-00-00","-"
"192","135","-","-","0000-00-00","-"
"193","135",,"-","0000-00-00","-"
"194","135",,"-","0000-00-00","-"
"195","136","-","-","0000-00-00","-"
"196","136",,"-","0000-00-00","-"
"197","136",,"-","0000-00-00","-"
"198","137","-","-","0000-00-00","-"
"199","137",,"-","0000-00-00","-"
"200","137",,"-","0000-00-00","-"
"201","138","-","-","0000-00-00","-"
"202","138",,"-","0000-00-00","-"
"203","138",,"-","0000-00-00","-"
"204","139","-","--","0000-00-00","-"
"205","139",,"-","0000-00-00","-"
"206","139",,"-","0000-00-00","-"
"207","140","-","-","0000-00-00","-"
"208","140",,"-","0000-00-00","-"
"209","141","-","-","0000-00-00","-"
"210","142","-","-","0000-00-00","-"
"211","143","-","-","0000-00-00","-"
"212","144","-","-","0000-00-00","-"
"213","145","-","-","0000-00-00","-"
"214","146","-","-","0000-00-00","-"
"215","147","-","-","0000-00-00","-"
"216","148","-","--","0000-00-00","-"
"217","149","-","-","0000-00-00","-"
"218","150","-","-","0000-00-00","-"
"219","151","-","-","0000-00-00","-"
"220","152","-","-","0000-00-00","-"
"221","153","-","-","0000-00-00","-"
"222","154","-","--","0000-00-00","-"
"223","155","-","-","0000-00-00","--"
"224","156","-","-","0000-00-00","-"
"225","157","-","-","0000-00-00","-"
"226","158","-","-","0000-00-00","-"
"227","159","-","-","0000-00-00","-"
"228","160","-","-","0000-00-00","-"
"229","162","-","-","0000-00-00","-"
"230","175","MDN","SecrÃ©taire","1988-03-09","DIA"
"231","179","Imprimerie","Magasinier","1987-02-11","DIA"
"232","179","Imprimerie","Laborantin","2003-01-15","DIA"
"233","182","MDN","Infographe","2007-09-01","DIA"
"234","184","MDN","Comptable","2015-04-30","DIA"
"235","185","MDN","BARMAN","1983-06-20","DIA/CEMES"
"236","185","MDN","MaÃ®tre d'Hotel","0001-01-01","DIA/CEMES"
"237","186","DIA/CEMES","cuisinier","1994-10-01","-"
"238","190","-","-","0000-00-00","-"
"239","192","-","--","0000-00-00","-"
"240","193","-","--","0000-00-00","-"
"241","194","-","-","0000-00-00","-"
"242","195","-","-","0000-00-00","-"
"243","196","-","-","0000-00-00","-"
"244","197","-","-","0000-00-00","-"
"245","198","-","-","0000-00-00","-"
"246","199","-","-","0000-00-00","-"
"247","200","-","-","0000-00-00","-"
"248","201","-","-","0000-00-00","-"
"249","203","-","-","0001-01-01","-"
"250","212","DIA","SecrÃ©taire","2011-06-01","DIA/GACS"
"251","212","DIA","SecrÃ©taire","2012-01-20","EMIC"
"252","220","-","couturiÃ¨re","1980-01-02","DAAP-EMIC"
"253","220","-","couturiÃ¨re","1994-01-01","DMT - EMIV"
"254","220","-","couturiÃ¨re","2007-01-01","DIA-EMIC"
"255","221","MDN","Comptable","1988-01-29","DIA/EIA"
"256","221","MDN","Comptable","2011-09-23","DIA-EMIC"
"257","222","MDN","MÃ©canicien","1981-10-16","DIA/EMIV"
"258","222","MDN","MÃ©canicien","1982-10-16","DIA/EMIC"
"259","223","MDN","Dactylographe","1979-02-16","POOL-Dactylo"
"260","223","MDN","dÃ©compteur","1981-02-16","DIA/SOLDE"
"261","223","MDN","Dactylographe","1983-02-16","CEMES"
"262","223","MDN","SecrÃ©taire","1985-02-16","DIA/PRMP"
"263","223","MDN","-","1987-02-16","Centre d'Accueil Ambohidahy"
"264","223","MDN","Archiviste","1990-02-16","DIA/ARCHIVES"
"265","223","MDN","SecrÃ©taire","1992-02-16","DIA/SMI"
"266","223","MDN","Coordonier","2002-02-16","DIA/EMIC"
"267","224","MDN","Electricien","1988-06-03","DIA/SG"
"268","224","MDN","SecrÃ©taire","1990-06-03","DIA/COURRIER"
"269","225","DAAP/D3","SecrÃ©taire FNDE","1987-10-06","DAAP"
"270","225","EMGAM/LJADM","SecrÃ©taire FNDE","1989-01-06","EMGAM"
"271","225","DIA/SCF","Decompteur solde-facture","1990-01-06","DIA"
"272","225","SRI 3","Decompteur solde-denier foyer","1992-10-06","DIA"
"273","225","DIA/SCF","Decompteur solde-TELMA","1996-10-06","DIA"
"274","225","DIA/CEMES","SecrÃ©taire magasinier","2003-04-20","DIA"
"275","225","DIA/SPCM/PC","SecrÃ©taire Gestion PC","2008-10-20","DIA"
"276","225","DIA/ARCHIVES","SecrÃ©taire","2015-07-13","DIA"
"277","228","GRP Ivato","couturiÃ¨re","1977-10-15","MDN"
"278","228","EMIC","couturiÃ¨re","1983-11-01","MDN"
"279","228","DMT/EMIV","couturiÃ¨re","1994-01-01","MDN"
"280","228","DIA/EMIC","couturiÃ¨re","2007-01-01","EMIC"
"281","279","-","-","1988-03-09","-"
"282","289","CMMB","Serveur","2015-08-08","CMMGI/Ivato"
"283","288","EMIC","Serveur","2014-11-02","CMMGI/Ivato"
"284","309","SPC","Secretaire","2014-09-09","SRI 1"
"285","311","CA Fiadanana","Femme de mÃ©nage","2004-01-01","SRI 1"
"286","314","EMIV","Secretaire","2012-12-07","SRI 1"
"287","316","DIA","Secretaire","2013-04-09","SRI 5"
"294","227","MDN","VÃ©rificatrice comptabilitÃ© des matÃ©riels-Pensio","1987-01-01","DIA"
"295","227","MDN","Secretaire UGPM","2002-01-01","DIA-INSP1-PRMP1"
"296","227","MDN","VÃ©rificatrice effectifs documentation","2005-01-01","DIA-SR1"
"297","227","MDN","responsable suivi des effectifs-correspondance-doc","2011-01-01","DIA-Service solde"
"323","11","MDN","Decompteur de Solde ECD et Etat CPR(Validation)","0907-11-20","DIA/SPCM/D2"
"324","10","MDN","Broderie","2004-11-01","DIA/EMIV"
"325","10","MDN","Gestion ECD","2008-01-01","DIA/SPCM/PC"
"326","10","MDN","validation","2010-11-01","DIA/SPCM/PC"
"327","10","MDN","Secretaire","2012-04-01","DIA/SEOM"
"328","10","MDN","Solde ECD et Validation","0001-01-01","DIA/SPCM/PC"
"374","176","EIA","Secretaire","1988-01-13","DIA"
"375","176","ECMAG","Secretaire","0000-00-00","DIA"
"376","177","EIA","Comptable","1987-12-03","DIA"
"377","177","CA Ambohidahy","Comptable","0000-00-00","CA Ambohidahy"
